Unnamed: 0,military_base_name,coordinates,longtitudes,latitudes,description,type,type_norm,tags
1258,28th Space Forces Arsenal,"41.46224954712035,52.45993220149367,0",41.46224954712035,52.45993220149367,military unit 14272,Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
1259,13th Separate Command and Measurement Complex,"107.9414952357479,51.87175795345056,0",107.9414952357479,51.87175795345056,military unit 14129,Headquarters / Command,hq_command,"[""hq""]"
1260,/Cx 14th Separate Command and Measurement Complex,"37.963270949624,55.94891919755423,0",37.963270949624,55.94891919755423,military unit 26178,Headquarters / Command,hq_command,"[""hq""]"
1261,/Cx 14th Separate Command and Measurement Complex,"38.00647982801244,56.01416999260924,0",38.00647982801244,56.01416999260924,military unit 26178,Headquarters / Command,hq_command,"[""hq""]"
1262,15th Separate Command and Measurement Complex,"131.7576386353198,44.0229942014369,0",131.7576386353198,44.0229942014369,military unit 14038,Headquarters / Command,hq_command,"[""hq""]"
1263,17th Separate Command and Measurement Complex,"129.653944000709,61.97627485589668,0",129.653944000709,61.97627485589668,military unit 77981,Headquarters / Command,hq_command,"[""hq""]"
1264,18th Separate Command and Measurement Complex,"64.16103846518824,67.55893415419668,0",64.16103846518824,67.55893415419668,military unit 97692,Headquarters / Command,hq_command,"[""hq""]"
1265,20th Separate Command and Measurement Complex,"136.7530269295899,50.68855208308143,0",136.7530269295899,50.68855208308143,military unit 59946,Headquarters / Command,hq_command,"[""hq""]"
1266,46th Separate Command and Measurement Complex,"92.26541518471906,58.44634348660849,0",92.26541518471906,58.44634348660849,military unit 14058,Headquarters / Command,hq_command,"[""hq""]"
1267,48th Separate Command and Measurement Complex,"36.24188312524478,54.97092696563213,0",36.24188312524478,54.97092696563213,military unit 34122,Headquarters / Command,hq_command,"[""hq""]"
1268,65th Separate Command and Measurement Complex,"158.3604048465116,53.10173978865211,0",158.3604048465116,53.10173978865211,military unit 14086,Headquarters / Command,hq_command,"[""hq""]"
1269,76th Separate Command and Measurement Complex,"30.191445266171,59.71613263547412,0",30.191445266171,59.71613263547412,military unit 14108,Headquarters / Command,hq_command,"[""hq""]"
1270,43rd Separate Scientific Testing Station,"160.8491663979536,56.30450678773087,0",160.8491663979536,56.30450678773087,military unit 25522,Garrison / Unit Base,garrison,[]
1271,Separate Measurement Point,"40.98930140879772,44.93127582489976,0",40.98930140879772,44.93127582489976,military unit 20608,Garrison / Unit Base,garrison,[]
1272,Space Forces Optical Surveillance Unit,"53.78303238540396,56.47534690158662,0",53.78303238540396,56.47534690158662,military unit 71496 (?),Garrison / Unit Base,garrison,[]
1273,Space Force Testing Center,"128.3538273844548,51.85062557293575,0",128.3538273844548,51.85062557293575,military unit 94077,Garrison / Unit Base,garrison,[]
1274,Satellite Communications Center,"37.5666857824402,55.28147046715014,0",37.5666857824402,55.28147046715014,,Unknown,unknown,"[""electronic""]"
1275,Satellite Communications Center,"37.95620060823838,55.8627036745623,0",37.95620060823838,55.8627036745623,,Unknown,unknown,"[""electronic""]"
1276,Satellite Communications Center,"37.25067246677438,56.73635940868774,0",37.25067246677438,56.73635940868774,,Unknown,unknown,"[""electronic""]"
1277,176th Satellite Communications Center,"36.82126215222552,55.32947531543174,0",36.82126215222552,55.32947531543174,,Unknown,unknown,"[""electronic""]"
1278,93rd Guards Anti-Aircraft Missile Regiment HQ,"37.05080335800296,55.59735578326814,0",37.05080335800296,55.59735578326814,military unit 51916,Missile Unit / Site,missile_base,"[""air_defense"", ""hq"", ""missile""]"
1279,/R 93th Guards Anti-Aircraft Missile Regiment,"36.83710726476347,55.68748543550366,0",36.83710726476347,55.68748543550366,"military unit 51916, S-400",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1280,/R 93rd Guards Anti-Aircraft Missile Regiment,"36.9132144261188,55.94167933989213,0",36.9132144261188,55.94167933989213,"military unit 51916, S-300PM",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1281,/R 93rd Guards Anti-Aircraft Missile Regiment,"36.7894376471057,55.58968122086219,0",36.7894376471057,55.58968122086219,"military unit 51916, S-300PM",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1282,/R 93rd Guards Anti-Aircraft Missile Regiment,"36.87171056726983,55.81416341397955,0",36.87171056726983,55.81416341397955,"military unit 51916, (S-400,S-300PM)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1283,/R 93rd Guards Anti-Aircraft Missile Regiment,"36.84136986567211,55.68400694553399,0",36.84136986567211,55.68400694553399,military unit 51916,Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
