Unnamed: 0,military_base_name,coordinates,longtitudes,latitudes,description,type,type_norm,tags
345,10th NBC Protection Regiment,"83.13239533206533,52.81064042207217,0",83.13239533206533,52.81064042207217,military unit 55121,Garrison / Unit Base,garrison,[]
346,35th Command and Control Brigade,"82.22145995967986,55.02282574568955,0",82.22145995967986,55.02282574568955,military unit 57849,Garrison / Unit Base,garrison,"[""hq""]"
347,236th Separate Special Purpose Radio-Technical Battalion GRU,"85.30618608567801,52.50688328763306,0",85.30618608567801,52.50688328763306,military unit 73762,Garrison / Unit Base,garrison,"[""electronic""]"
348,106th Separate Logistics Brigade,"85.01118613967438,55.69129753474633,0",85.01118613967438,55.69129753474633,military unit 72154,Garrison / Unit Base,garrison,[]
349,41st Combined Arms Army HQ,"82.91746361616302,55.03860944386232,0",82.91746361616302,55.03860944386232,military unit 64128,Garrison / Unit Base,garrison,"[""hq""]"
350,92nd Motor Rifle Regiment,"68.7307863176148,38.50051539321589,0",68.7307863176148,38.50051539321589,"military unit 31691, (T-72B1, BTR-82A, 2S1 Gvozdivka, 9K35 Strela-10)",Garrison / Unit Base,garrison,[]
351,149th Guards Motor Rifle Regiment,"68.73237354679699,38.50395369535698,0",68.73237354679699,38.50395369535698,"military unit 54306, (T-72B1, BMP-2, 2S3M Akatsiya, 9K35 Strela-10)",Garrison / Unit Base,garrison,[]
352,191st Separate Motor Rifle Regiment,"68.79194385454777,37.84072263040632,0",68.79194385454777,37.84072263040632,"military unit 83364, (T-72B1, BMP-2, 2S3M Akatsiya, 9K35 Strela-10)",Garrison / Unit Base,garrison,[]
353,6th Tank Regiment,"60.38878135197713,55.00192530936861,0",60.38878135197713,55.00192530936861,military unit 93992,Garrison / Unit Base,garrison,[]
354,80th Tank Regiment,"60.37728249242715,55.00262553395835,0",60.37728249242715,55.00262553395835,military unit 87441,Garrison / Unit Base,garrison,[]
355,239th Tank Regiment,"60.39063283510964,55.00392681686863,0",60.39063283510964,55.00392681686863,military unit 89547,Garrison / Unit Base,garrison,[]
356,228th Motor Rifle Regiment,"60.57843034460605,56.7732020301132,0",60.57843034460605,56.7732020301132,military unit 22316,Garrison / Unit Base,garrison,[]
357,400th Self-Propelled Artillery Regiment,"60.36904868360254,55.0008234477512,0",60.36904868360254,55.0008234477512,military unit 15871,Garrison / Unit Base,garrison,[]
358,30th Separate Reconaissance Battalion,"60.36943061394837,54.99714399073983,0",60.36943061394837,54.99714399073983,military unit 17654,Garrison / Unit Base,garrison,[]
359,351st Separate Engineer Battalion,"60.37199933141908,55.0048788975566,0",60.37199933141908,55.0048788975566,military unit 84975,Garrison / Unit Base,garrison,[]
360,33rd Separate Communications Battalion,"60.37679170586966,54.99771980700041,0",60.37679170586966,54.99771980700041,military unit 94015,Garrison / Unit Base,garrison,"[""electronic""]"
361,1122nd Separate Logistics Battalion,"60.38161130509835,54.99293833107275,0",60.38161130509835,54.99293833107275,military unit 25481,Garrison / Unit Base,garrison,[]
362,26th Separate Medical Battalion,"60.38561049871095,55.00902052310607,0",60.38561049871095,55.00902052310607,military unit 86000,Garrison / Unit Base,garrison,[]
363,288th Separate Anti-Aircraft Missile Regiment,"60.37765813270861,55.00357060336081,0",60.37765813270861,55.00357060336081,military unit 54824,Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
364,90th Guards Tank Division HQ,"60.38057018645755,54.99779034289505,0",60.38057018645755,54.99779034289505,military unit 86274,Garrison / Unit Base,garrison,"[""hq""]"
365,345th Guards Airborne Regiment,"48.57860601287712,54.35645291215499,0",48.57860601287712,54.35645291215499,"(T-72B3M, Typhoon-VDV, D-30, BM-21 Grad)",Garrison / Unit Base,garrison,[]
366,n/a Guards Airborne Regiment,"48.5769561767862,54.35536610267872,0",48.5769561767862,54.35536610267872,,Garrison / Unit Base,garrison,[]
367,2nd Mixed Aviation Regiment,"61.28854345308542,55.26233928535432,0",61.28854345308542,55.26233928535432,"military unit 69806, (24x Su-34, 12x Su-24MR)",Airbase / Airfield,airbase,"[""aviation""]"
368,712th Fighter Aviation Regiment,"95.66644760462611,56.12825212335191,0",95.66644760462611,56.12825212335191,"military unit 82873, (21x MiG-31BM, 4x MiG-31BSM)",Airbase / Airfield,airbase,"[""aviation""]"
369,764th Fighter Aviation Regiment,"56.02647864759042,57.91268119869532,0",56.02647864759042,57.91268119869532,"military unit 88503, (24x MiG-31BSM)",Airbase / Airfield,airbase,"[""aviation""]"
370,337th Separate Helicopter Regiment,"82.69156655601591,55.00683060115171,0",82.69156655601591,55.00683060115171,"military unit 12739, (20x Mi-24P, 20x Mi-8AMTSh",Garrison / Unit Base,garrison,[]
371,"590th Anti-Aircraft Missile Regiment 
HQ","82.86099147798788,55.09385740996385,0",82.86099147798788,55.09385740996385,military unit 31665,Missile Unit / Site,missile_base,"[""air_defense"", ""hq"", ""missile""]"
372,/R 590th Anti-Aircraft Missile Regiment,"82.82608257910172,54.8627118801404,0",82.82608257910172,54.8627118801404,"military unit 31665, S-400, equipment redeployed closer to Ukraine after the beginning of the invasion",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
373,/R 590th Anti-Aircraft Missile Regiment,"83.27762470579354,55.07276639931676,0",83.27762470579354,55.07276639931676,"military unit 31665, S-400",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
374,"1534th Anti-Aircraft Missile Regiment
 HQ","103.8243780331521,52.49803944734893,0",103.8243780331521,52.49803944734893,military unit 25512,Missile Unit / Site,missile_base,"[""air_defense"", ""hq"", ""missile""]"
375,1534th Anti-Aircraft Missile Regiment,"103.9828683973056,52.41281450237199,0",103.9828683973056,52.41281450237199,"military unit 25512, (S-300PM)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
376,341st Radio-Technical Regiment HQ,"82.66887999176339,55.02352548394625,0",82.66887999176339,55.02352548394625,military unit 58133,Garrison / Unit Base,garrison,"[""electronic"", ""hq""]"
377,/R 341st Radio-Technical Regiment,"73.70899346548558,54.99243707373197,0",73.70899346548558,54.99243707373197,military unit 58133-2,Garrison / Unit Base,garrison,"[""electronic""]"
378,/R 341th Radio-Technical Regiment,"74.32254274398962,56.89683397903772,0",74.32254274398962,56.89683397903772,military unit 51833-3,Garrison / Unit Base,garrison,"[""electronic""]"
379,/R 341th Radio-Technical Regiment,"85.19205737231125,52.57089198692718,0",85.19205737231125,52.57089198692718,military unit 51833-5,Garrison / Unit Base,garrison,"[""electronic""]"
380,/R 341st Radio-Technical Regiment,"81.81982443326905,51.96901672933577,0",81.81982443326905,51.96901672933577,military unit 58133-6,Garrison / Unit Base,garrison,"[""electronic""]"
381,/R 341th Radio-Technical Regiment,"88.68162967854374,49.98270350757047,0",88.68162967854374,49.98270350757047,military unit 51833-7,Garrison / Unit Base,garrison,"[""electronic""]"
382,/R 341st Radio-Technical Regiment,"82.66527478567281,55.02457136557268,0",82.66527478567281,55.02457136557268,military unit 58133-8,Garrison / Unit Base,garrison,"[""electronic""]"
383,/R 341st Radio-Technical Regiment,"78.63492621506866,52.97134070690428,0",78.63492621506866,52.97134070690428,military unit 58133-9,Garrison / Unit Base,garrison,"[""electronic""]"
384,/R 341th Radio-Technical Regiment,"84.51080648765597,56.56564148846605,0",84.51080648765597,56.56564148846605,military unit 51833-10,Garrison / Unit Base,garrison,"[""electronic""]"
385,/R 341st Radio-Technical Regiment,"92.96607355372272,56.18321498511376,0",92.96607355372272,56.18321498511376,military unit 58133-11,Garrison / Unit Base,garrison,"[""electronic""]"
386,/R 341th Radio-Technical Regiment,"92.08635721697951,58.48582827961584,0",92.08635721697951,58.48582827961584,military unit 51833-12,Garrison / Unit Base,garrison,"[""electronic""]"
387,/R 341th Radio-Technical Regiment,"95.65831703762025,56.13676475730698,0",95.65831703762025,56.13676475730698,military unit 51833-14,Garrison / Unit Base,garrison,"[""electronic""]"
388,/R 341st Radio-Technical Regiment,"103.7833117857169,51.81092799490423,0",103.7833117857169,51.81092799490423,military unit 58133-19,Garrison / Unit Base,garrison,"[""electronic""]"
389,/R 341st Radio-Technical Regiment,"101.6565549531379,56.29564510458271,0",101.6565549531379,56.29564510458271,military unit 58133-20,Garrison / Unit Base,garrison,"[""electronic""]"
390,24th Anti-Aircraft Missile Brigade,"91.23176216684891,53.61380927148807,0",91.23176216684891,53.61380927148807,"military unit 44360, (S-300PS)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
391,388th Guards Anti-Aircraft Missile Regiment,"90.5654784427205,56.12371838010545,0",90.5654784427205,56.12371838010545,"military unit 97646, (S-300PS)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
392,"41st Air Defense Division 
HQ","82.70024616633535,55.00119249006399,0",82.70024616633535,55.00119249006399,military unit 29286,Garrison / Unit Base,garrison,"[""air_defense"", ""hq""]"
393,185th Anti-Aircraft Missile Regiment HQ,"60.82745998433923,56.88644472395794,0",60.82745998433923,56.88644472395794,military unit 92581,Missile Unit / Site,missile_base,"[""air_defense"", ""hq"", ""missile""]"
394,/R 185th Anti-Aircraft Missile Regiment,"60.98313244342438,56.88107763060349,0",60.98313244342438,56.88107763060349,"military unit 92851, (S-300PS)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
395,/R 511th Guards Anti-Aircraft Missile Regiment,"46.1629929445518,51.4093213025569,0",46.1629929445518,51.4093213025569,"military unit 40218, (S-400)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
396,/R 511th Guards Anti-Aircraft Missile Regiment,"46.48226134883199,51.35724261330072,0",46.48226134883199,51.35724261330072,"military unit 40218, (S-400)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
397,568th Anti-Aircraft Missile Regiment HQ,"50.16996193299781,53.20999149454451,0",50.16996193299781,53.20999149454451,military unit 28042,Missile Unit / Site,missile_base,"[""air_defense"", ""hq"", ""missile""]"
398,/R 568th Anti-Aircraft Missile Regiment,"50.2710145617723,53.36456135503352,0",50.2710145617723,53.36456135503352,"military unit 28042, (S-300PS)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
399,/R 568th Anti-Aircraft Missile Regiment,"50.11834304429389,53.68354106724533,0",50.11834304429389,53.68354106724533,"military unit 28042, (S-300PS)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
400,340th Radio-Technical Regiment HQ,"50.26241631711184,53.52918912968937,0",50.26241631711184,53.52918912968937,military unit 40278,Garrison / Unit Base,garrison,"[""electronic"", ""hq""]"
401,/R 340th Radio-Technical Regiment,"61.54214384106102,54.03612066809622,0",61.54214384106102,54.03612066809622,military unit 40278-3,Garrison / Unit Base,garrison,"[""electronic""]"
402,/R 340th Radio-Technical Regiment,"54.96621720411749,51.71730458004504,0",54.96621720411749,51.71730458004504,military unit 40278-4,Garrison / Unit Base,garrison,"[""electronic""]"
403,/R 340th Radio-Technical Regiment,"59.53308825465805,50.78855714395914,0",59.53308825465805,50.78855714395914,military unit 40278-5,Garrison / Unit Base,garrison,"[""electronic""]"
404,/R 340th Radio-Technical Regiment,"58.59735343894009,51.26979798816664,0",58.59735343894009,51.26979798816664,military unit 40278-7,Garrison / Unit Base,garrison,"[""electronic""]"
405,/R 340th Radio-Technical Regiment,"45.84637028162305,51.54948189224761,0",45.84637028162305,51.54948189224761,military unit 40278-8,Garrison / Unit Base,garrison,"[""electronic""]"
406,/R 340th Radio-Technical Regiment,"46.6002785282916,53.07565544789868,0",46.6002785282916,53.07565544789868,military unit 40278-9,Garrison / Unit Base,garrison,"[""electronic""]"
407,/R 340th Radio-Technical Regiment,"56.09171432817956,57.95035947751476,0",56.09171432817956,57.95035947751476,military unit 40278-10,Garrison / Unit Base,garrison,"[""electronic""]"
408,/R 340th Radio-Technical Regiment,"52.13522108881472,58.68436985724139,0",52.13522108881472,58.68436985724139,military unit 40278-11,Garrison / Unit Base,garrison,"[""electronic""]"
409,/R 340th Radio-Technical Regiment,"49.55322755101652,58.65763964274988,0",49.55322755101652,58.65763964274988,military unit 40278-13,Garrison / Unit Base,garrison,"[""electronic""]"
410,/R 340th Radio-Technical Regiment,"60.69453172689811,57.30305308647579,0",60.69453172689811,57.30305308647579,military unit 40278-14,Garrison / Unit Base,garrison,"[""electronic""]"
411,/R 340th Radio-Technical Regiment,"63.66469247238396,56.04346826257443,0",63.66469247238396,56.04346826257443,military unit 40278-15,Garrison / Unit Base,garrison,"[""electronic""]"
412,/R 340th Radio-Technical Regiment,"65.23586230927749,57.14803396762467,0",65.23586230927749,57.14803396762467,military unit 40278-16,Garrison / Unit Base,garrison,"[""electronic""]"
413,/R 340th Radio-Technical Regiment,"63.17609657735304,61.28485735698419,0",63.17609657735304,61.28485735698419,military unit 40278-17,Garrison / Unit Base,garrison,"[""electronic""]"
414,/R 340th Radio-Technical Regiment,"69.05144254880734,60.98957280124371,0",69.05144254880734,60.98957280124371,military unit 40278-18,Garrison / Unit Base,garrison,"[""electronic""]"
415,/R 340th Radio-Technical Regiment,"50.64817670268339,53.19013089516866,0",50.64817670268339,53.19013089516866,military unit 40278-19,Garrison / Unit Base,garrison,"[""electronic""]"
416,/R 340th Radio-Technical Regiment,"49.65149054427412,51.12970167599257,0",49.65149054427412,51.12970167599257,military unit 40278-20,Garrison / Unit Base,garrison,"[""electronic""]"
417,32nd Separate Transport Mixed Aviation Regiment,"60.82659856089833,56.74778254414083,0",60.82659856089833,56.74778254414083,"military unit 77979, (3x Mil Mi-8MT, 5x An-12, 4x An-140-100, 1x Il-22M, 5x An-26, 1x Tu-134, 1x Tu-154, 4x L-410UVP-E20)",Airbase / Airfield,airbase,"[""aviation""]"
418,Mixed Aviation Squadron of the 32nd Separate Transport Mixed Aviation Regiment,"82.68932784563698,55.00514939650394,0",82.68932784563698,55.00514939650394,"military unit 77979, (3x An-12, 2x An-26, 1x Tu-134, 8x Mil Mi-8AMTSh)",Airbase / Airfield,airbase,"[""aviation""]"
419,Mixed Aviation Squadron of the 32nd Separate Transport Mixed Aviation Regiment,"94.39851672864135,51.67209173042029,0",94.39851672864135,51.67209173042029,"military unit 77979, (3x An-26, 4x Mil Mi-8AMTSh)",Airbase / Airfield,airbase,"[""aviation""]"
420,Aviation Search and Rescue Detachment of the 32nd Separate Transport Mixed Aviation Regiment,"101.6804188738863,56.36919534251805,0",101.6804188738863,56.36919534251805,"military unit 77979, (3x An-26, 3x Mil Mi-8MT)",Airbase / Airfield,airbase,"[""aviation""]"
421,17th Army Aviation Brigade,"61.98762420282121,56.43415359560706,0",61.98762420282121,56.43415359560706,"military unit 45123, (20x Mil Mi-24, 20x Mil Mi-8MTV-5)",Airbase / Airfield,airbase,"[""aviation""]"
422,Air Group of the 17th Army Aviation Brigade,"61.3528535949261,54.38257194635802,0",61.3528535949261,54.38257194635802,"military unit 45123-2, (20x Mi-8MTV-5, 4x Mil Mi-26)",Airbase / Airfield,airbase,"[""aviation""]"
423,999th Air Base,"74.84433507291085,42.85959497942284,0",74.84433507291085,42.85959497942284,"military unit 20022, (5x Su-25SM, 6x Su-25, 2x Mi-8, 2x An-26, Orlan-10 and Forpost UAV)",Airbase / Airfield,airbase,"[""aviation""]"
424,14th Air and Air Defense Forces Army HQ,"60.41426620298704,56.71199922738257,0",60.41426620298704,56.71199922738257,military unit 71592,Garrison / Unit Base,garrison,"[""air_defense"", ""hq""]"
425,5th Separate Railway Brigade,"91.38890224660501,53.70052282872868,0",91.38890224660501,53.70052282872868,military unit 01662,Garrison / Unit Base,garrison,[]
426,/B 43rd Separate Railway Brigade,"60.54893687225227,56.87495297813744,0",60.54893687225227,56.87495297813744,military unit 61207,Garrison / Unit Base,garrison,[]
427,/B 43rd Separate Railway Brigade,"48.52711743627628,53.17971639369897,0",48.52711743627628,53.17971639369897,military unit 98558,Garrison / Unit Base,garrison,[]
428,48th Separate Railway Brigade,"73.46853681155639,54.92176176173973,0",73.46853681155639,54.92176176173973,military unit 55026,Garrison / Unit Base,garrison,[]
429,Railway Troops Storage Base,"48.54263777704858,53.18042646121171,0",48.54263777704858,53.18042646121171,,Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
430,Warehouse,"50.29775627554676,53.23822224249274,0",50.29775627554676,53.23822224249274,"military unit 58661-2, storage of material and technical means of military food service",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
431,Warehouse,"50.14192658231952,53.18476684271712,0",50.14192658231952,53.18476684271712,"military unit 58661-3, storage of material and technical means of military food service",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
432,Warehouse,"53.04793383856062,57.53974475003107,0",53.04793383856062,57.53974475003107,"military unit 58661-5, storage of material and technical means of military road service",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
433,Warehouse,"49.25880396201747,55.90932617356627,0",49.25880396201747,55.90932617356627,"military unit 58661-6, storage of material and technical means of military food service",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
434,1062nd Logistics Center Base,"48.33897872831338,58.3025374137607,0",48.33897872831338,58.3025374137607,military unit 58661-14,Garrison / Unit Base,garrison,[]
435,Warehouse,"45.22048818065446,53.20438376918385,0",45.22048818065446,53.20438376918385,"military unit 58661-15, storage of spare parts for armoured vehicles",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
436,Warehouse,"48.31799351308199,54.22750596723512,0",48.31799351308199,54.22750596723512,"military unit 58661-16, storage of material and technical means of military fuel service",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
437,Warehouse,"60.53115491558011,56.88163069171316,0",60.53115491558011,56.88163069171316,"military unit 58661-18, storage of material and technical means of military food service",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
438,Warehouse,"60.83372922570026,56.75836979217542,0",60.83372922570026,56.75836979217542,"military unit 58661-20, storage of material and technical means of military fuel service",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
439,Warehouse,"60.73310937714393,54.99914380101114,0",60.73310937714393,54.99914380101114,"military unit 58661-23, storage of material and technical means of military fuel service",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
440,Warehouse,"60.52839628571179,56.88010853623055,0",60.52839628571179,56.88010853623055,"military unit 58661-24, storage of engineering equipment and property",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
441,Storage Department,"90.51572626814956,56.22689506557102,0",90.51572626814956,56.22689506557102,"military unit 58661-26, storage of engineering weapons and equipment",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
442,Warehouse,"83.54596546566296,55.28751024690162,0",83.54596546566296,55.28751024690162,"military unit 58661-28, storage of material and technical means of military fuel service",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
443,Warehouse,"83.06531660551912,54.95831270373129,0",83.06531660551912,54.95831270373129,"military unit 58661-29, storage of material and technical means of military food service",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
444,Storage Department,"83.56487939357876,55.29333770223423,0",83.56487939357876,55.29333770223423,"military unit 58661-30, storage of material and technical means of military food service",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
445,Storage Department,"93.68982231822139,55.8275119553278,0",93.68982231822139,55.8275119553278,"military unit 58661-31, storage of material and technical means of military food service",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
446,Warehouse,"83.53071583252664,55.29362668320066,0",83.53071583252664,55.29362668320066,"military unit 58661-32, storage of vehicles and spare parts for armoured vehicles",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
447,Storage Department,"83.53824529101523,55.2830498415823,0",83.53824529101523,55.2830498415823,"military unit 58661-33, storage of topographic maps",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
448,Storage Department,"82.97204064449707,54.99704323453702,0",82.97204064449707,54.99704323453702,"military unit 58661-34, technical means of education",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
449,Warehouse,"83.23659265868056,54.97688048563051,0",83.23659265868056,54.97688048563051,"military unit 58661-35, storage of spare parts for armoured vehicles",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
450,Storage Department,"82.96607608881868,55.09113858666203,0",82.96607608881868,55.09113858666203,"military unit 58661-36, storage of vehicles and spare parts for armoured vehicles",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
451,Warehouse,"104.1200703308436,52.38300487117612,0",104.1200703308436,52.38300487117612,"military unit 58661-38, storage of material and technical means of military fuel service",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
452,Warehouse,"104.180400150751,52.35753078304229,0",104.180400150751,52.35753078304229,"military unit 58661-39, storage of material and technical means of military food service",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
453,Warehouse,"104.1875142187472,52.35300707308114,0",104.1875142187472,52.35300707308114,"military unit 58661-40, storage of material and technical means of military clothing service",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
454,Vehicle Warehouse,"104.1919048408198,52.34762531465633,0",104.1919048408198,52.34762531465633,military unit 58661-41,Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
455,Warehouse,"55.21017523140942,51.89778388847063,0",55.21017523140942,51.89778388847063,"military unit 58661-44, storage of material and technical means of military fuel service",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
456,Warehouse,"55.08318743607021,51.81041414915429,0",55.08318743607021,51.81041414915429,"military unit 58661-45, storage of material and technical means of military food service",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
457,Warehouse,"55.08990146914871,51.78373775407853,0",55.08990146914871,51.78373775407853,"military unit 58661-46, storage of material and technical means of military clothing service",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
458,Arsenal,"46.85407136070664,53.63047913336509,0",46.85407136070664,53.63047913336509,"military unit 58661-51, complex storage of rockets/missiles, ammunition and explosive materials",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
459,Arsenal,"61.1913565965331,56.76098131719509,0",61.1913565965331,56.76098131719509,"military unit 58661-54, storage of rocket and artillery weapons",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""missile"", ""storage""]"
460,Arsenal,"61.16676394330361,56.75131624933562,0",61.16676394330361,56.75131624933562,"military unit 58661-55, storage of vehicles and spare parts for armoured vehicles",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
461,Arsenal,"104.1542993980583,52.38444460007995,0",104.1542993980583,52.38444460007995,"military unit 58661-57, storage of rocket and artillery weapons",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""missile"", ""storage""]"
462,Complex Storage Base,"73.46116333256859,54.94764879822279,0",73.46116333256859,54.94764879822279,military unit 58661-58,Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
463,Warehouse,"48.4710925458266,53.17365934816262,0",48.4710925458266,53.17365934816262,"military unit 58661-61, storage of aviation equipment",Logistics / Ammo Storage,logistics_ammo,"[""aviation"", ""logistics"", ""storage""]"
464,Rocket Fuel Warehouse,"48.29484147144266,56.31703176848065,0",48.29484147144266,56.31703176848065,military unit 58661-62,Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""missile"", ""storage""]"
465,Training Equipment Workshop,"60.51324898918522,55.01128254478667,0",60.51324898918522,55.01128254478667,military unit 58661-71,Training Range,training,"[""training""]"
466,Arsenal,"62.72802955439856,55.28000126412543,0",62.72802955439856,55.28000126412543,"military unit 58661-BN, storage of rocket and artillery weapons",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""missile"", ""storage""]"
467,Arsenal,"57.00060136933105,57.37643403684579,0",57.00060136933105,57.37643403684579,"military unit 58661-88, complex storage of rockets/missiles, ammunition and explosive materials",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
468,Rocket and Artillery Warehouse,"44.12115834082869,52.50550253274255,0",44.12115834082869,52.50550253274255,military unit 58661-90,Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""missile"", ""storage""]"
469,Rocket and Artillery Ammunition Warehouse,"61.40141160799104,57.32249729542671,0",61.40141160799104,57.32249729542671,military unit 58661-94,Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""missile"", ""storage""]"
470,Artillery Ammunition Base,"83.37301223016149,54.06366483264691,0",83.37301223016149,54.06366483264691,military unit 58661-95,Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
471,Engineer Troops Ammunition Warehouse,"52.891274308836,52.5546826782302,0",52.891274308836,52.5546826782302,military unit 58661-100,Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
472,Supply and Storage Warehouse,"59.4085268243659,56.83678554510672,0",59.4085268243659,56.83678554510672,military unit 58661-101,Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
473,Rocket and Artillery Weapons Arsenal,"60.21025118714499,55.41446732359728,0",60.21025118714499,55.41446732359728,military unit 58661-102,Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""missile"", ""storage""]"
474,Aviation Weapons Warehouse,"96.39336414464411,56.19623143825385,0",96.39336414464411,56.19623143825385,military unit 58661-104,Logistics / Ammo Storage,logistics_ammo,"[""aviation"", ""logistics"", ""storage""]"
475,1062nd Logistics Center HQ,"60.52215839316497,56.87765416867528,0",60.52215839316497,56.87765416867528,military unit 58661,Garrison / Unit Base,garrison,"[""hq""]"
476,232nd Rocket Artillery Brigade,"62.72137363666881,55.26413663094031,0",62.72137363666881,55.26413663094031,"military unit 31643, (BM-27 Uragan)",Garrison / Unit Base,garrison,"[""missile""]"
477,3nd Separate Guards Spetsnaz Brigade,"49.31102032126665,53.53744590086017,0",49.31102032126665,53.53744590086017,"military unit 21208, (BTR-80, GAZ Tigr)",Garrison / Unit Base,garrison,[]
478,24th Separate Guards Spetsnaz Brigade,"82.94922363187376,55.02781723082861,0",82.94922363187376,55.02781723082861,"military unit 55433, (BTR-80, GAZ Tigr)",Garrison / Unit Base,garrison,[]
479,28th Anti-Aircraft Missile Brigade,"48.64670642323557,58.31775578164779,0",48.64670642323557,58.31775578164779,"military unit 71316, (S-300V4)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
480,29th NBC Protection Brigade,"60.607012211207,56.91523179471693,0",60.607012211207,56.91523179471693,military unit 34081,Garrison / Unit Base,garrison,[]
481,12th Separate Guards Engineer Brigade,"55.6057704876915,54.66571428720718,0",55.6057704876915,54.66571428720718,military unit 63494,Garrison / Unit Base,garrison,[]
482,/B 59th Command and Control Brigade,"60.57019153727988,56.77308072418423,0",60.57019153727988,56.77308072418423,military unit 28331,Garrison / Unit Base,garrison,"[""hq""]"
483,/B 59th Command and Control Brigade,"60.62912122304412,56.82671695253856,0",60.62912122304412,56.82671695253856,military unit 28331,Garrison / Unit Base,garrison,"[""hq""]"
484,179th Communications Brigade,"60.56964560590589,56.77023889123215,0",60.56964560590589,56.77023889123215,milkitary unit 40566,Garrison / Unit Base,garrison,"[""electronic""]"
485,1388th Command Reconnaissance Center,"50.11713577309052,53.11609907858976,0",50.11713577309052,53.11609907858976,military unit 23280,Headquarters / Command,hq_command,"[""hq""]"
486,18th EW Brigade,"60.57131149844005,56.76668632347295,0",60.57131149844005,56.76668632347295,military unit 41158,Garrison / Unit Base,garrison,"[""electronic""]"
487,105th Separate Logistics Brigade,"50.12251213166076,53.11081898815367,0",50.12251213166076,53.11081898815367,military unit 11386,Garrison / Unit Base,garrison,[]
488,88th Separate Special Purpose Radio-Technical Brigade GRU,"107.9177692050229,51.85168584247187,0",107.9177692050229,51.85168584247187,military unit 65262,Garrison / Unit Base,garrison,"[""electronic""]"
